Episode 82/500, Total Reward: 27, Epsilon: 0.663
Episode 83/500, Total Reward: -2, Epsilon: 0.660
Episode 84/500, Total Reward: -46, Epsilon: 0.656
Episode 85/500, Total Reward: 64, Epsilon: 0.653
Episode 86/500, Total Reward: 17, Epsilon: 0.650
Episode 87/500, Total Reward: 59, Epsilon: 0.647
Episode 88/500, Total Reward: 27, Epsilon: 0.643
Episode 89/500, Total Reward: 27, Epsilon: 0.640
Episode 90/500, Total Reward: -28, Epsilon: 0.637
Episode 91/500, Total Reward: 37, Epsilon: 0.634
Episode 92/500, Total Reward: 34, Epsilon: 0.631
Episode 93/500, Total Reward: -3, Epsilon: 0.627
Episode 94/500, Total Reward: 41, Epsilon: 0.624
Episode 95/500, Total Reward: 74, Epsilon: 0.621
Episode 96/500, Total Reward: 69, Epsilon: 0.618
Episode 97/500, Total Reward: 75, Epsilon: 0.615
Episode 98/500, Total Reward: 45, Epsilon: 0.612
Episode 99/500, Total Reward: 57, Epsilon: 0.609
Episode 100/500, Total Reward: 86, Epsilon: 0.606
Episode 101/500, Total Reward: 82, Epsilon: 0.603
Episode 102/500, Total Reward: 52, Epsilon: 0.600
Episode 103/500, Total Reward: 52, Epsilon: 0.597
Episode 104/500, Total Reward: 67, Epsilon: 0.594
Episode 105/500, Total Reward: 71, Epsilon: 0.591
Episode 106/500, Total Reward: 58, Epsilon: 0.588
Episode 107/500, Total Reward: 65, Epsilon: 0.585
Episode 108/500, Total Reward: 69, Epsilon: 0.582
Episode 109/500, Total Reward: 78, Epsilon: 0.579
Episode 110/500, Total Reward: 51, Epsilon: 0.576
Episode 111/500, Total Reward: 74, Epsilon: 0.573
Episode 112/500, Total Reward: 85, Epsilon: 0.570
Episode 113/500, Total Reward: 82, Epsilon: 0.568
Episode 114/500, Total Reward: 69, Epsilon: 0.565
Episode 115/500, Total Reward: 49, Epsilon: 0.562
Episode 116/500, Total Reward: 83, Epsilon: 0.559
Episode 117/500, Total Reward: 72, Epsilon: 0.556
Episode 118/500, Total Reward: 85, Epsilon: 0.554
Episode 119/500, Total Reward: 50, Epsilon: 0.551
Episode 120/500, Total Reward: 70, Epsilon: 0.548
Episode 121/500, Total Reward: 85, Epsilon: 0.545
Episode 122/500, Total Reward: 54, Epsilon: 0.543
Episode 123/500, Total Reward: 69, Epsilon: 0.540
Episode 124/500, Total Reward: 77, Epsilon: 0.537
Episode 125/500, Total Reward: 83, Epsilon: 0.534
Episode 126/500, Total Reward: 84, Epsilon: 0.532
Episode 127/500, Total Reward: 62, Epsilon: 0.529
Episode 128/500, Total Reward: 74, Epsilon: 0.526
Episode 129/500, Total Reward: 80, Epsilon: 0.524
Episode 130/500, Total Reward: 63, Epsilon: 0.521
Episode 131/500, Total Reward: 82, Epsilon: 0.519
Episode 132/500, Total Reward: 70, Epsilon: 0.516
Episode 133/500, Total Reward: 52, Epsilon: 0.513
Episode 134/500, Total Reward: 63, Epsilon: 0.511
Episode 135/500, Total Reward: 60, Epsilon: 0.508
Episode 136/500, Total Reward: 84, Epsilon: 0.506
Episode 137/500, Total Reward: 86, Epsilon: 0.503
Episode 138/500, Total Reward: 73, Epsilon: 0.501
Episode 139/500, Total Reward: 75, Epsilon: 0.498
Episode 140/500, Total Reward: 52, Epsilon: 0.496
Episode 141/500, Total Reward: 72, Epsilon: 0.493
Episode 142/500, Total Reward: 77, Epsilon: 0.491
Episode 143/500, Total Reward: 79, Epsilon: 0.488
Episode 144/500, Total Reward: 86, Epsilon: 0.486
Episode 145/500, Total Reward: 79, Epsilon: 0.483
Episode 146/500, Total Reward: 77, Epsilon: 0.481
Episode 147/500, Total Reward: 76, Epsilon: 0.479
Episode 148/500, Total Reward: 72, Epsilon: 0.476
Episode 149/500, Total Reward: 69, Epsilon: 0.474
