Episode 1/1000, Total Reward: -768, Epsilon: 0.995
Episode 2/1000, Total Reward: -1577, Epsilon: 0.990
Episode 3/1000, Total Reward: -1002, Epsilon: 0.985
Episode 4/1000, Total Reward: -2253, Epsilon: 0.980
Episode 5/1000, Total Reward: -275, Epsilon: 0.975
Episode 6/1000, Total Reward: -1005, Epsilon: 0.970
Episode 7/1000, Total Reward: -1710, Epsilon: 0.966
Episode 8/1000, Total Reward: -1224, Epsilon: 0.961
Episode 9/1000, Total Reward: -1423, Epsilon: 0.956
Episode 10/1000, Total Reward: -786, Epsilon: 0.951
Episode 11/1000, Total Reward: -417, Epsilon: 0.946
Episode 12/1000, Total Reward: -1688, Epsilon: 0.942
Episode 13/1000, Total Reward: -2602, Epsilon: 0.937
Episode 14/1000, Total Reward: -3055, Epsilon: 0.932
Episode 15/1000, Total Reward: -140, Epsilon: 0.928
Episode 16/1000, Total Reward: -3864, Epsilon: 0.923
Episode 17/1000, Total Reward: -478, Epsilon: 0.918
Episode 18/1000, Total Reward: -554, Epsilon: 0.914
Episode 19/1000, Total Reward: -1548, Epsilon: 0.909
Episode 20/1000, Total Reward: -919, Epsilon: 0.905
Episode 21/1000, Total Reward: -275, Epsilon: 0.900
Episode 22/1000, Total Reward: -153, Epsilon: 0.896
Episode 23/1000, Total Reward: -769, Epsilon: 0.891
Episode 24/1000, Total Reward: -269, Epsilon: 0.887
Episode 25/1000, Total Reward: -335, Epsilon: 0.882
Episode 26/1000, Total Reward: -829, Epsilon: 0.878
Episode 27/1000, Total Reward: -1241, Epsilon: 0.873
Episode 28/1000, Total Reward: -257, Epsilon: 0.869
Episode 29/1000, Total Reward: -1133, Epsilon: 0.865
Episode 30/1000, Total Reward: -73, Epsilon: 0.860
Episode 31/1000, Total Reward: -1243, Epsilon: 0.856
Episode 32/1000, Total Reward: -914, Epsilon: 0.852
Episode 33/1000, Total Reward: -593, Epsilon: 0.848
Episode 34/1000, Total Reward: -452, Epsilon: 0.843
Episode 35/1000, Total Reward: -2087, Epsilon: 0.839
Episode 36/1000, Total Reward: -843, Epsilon: 0.835
Episode 37/1000, Total Reward: -1250, Epsilon: 0.831
Episode 38/1000, Total Reward: -70, Epsilon: 0.827
Episode 39/1000, Total Reward: -458, Epsilon: 0.822
Episode 40/1000, Total Reward: -1908, Epsilon: 0.818
Episode 41/1000, Total Reward: -838, Epsilon: 0.814
Episode 42/1000, Total Reward: -212, Epsilon: 0.810
Episode 43/1000, Total Reward: -575, Epsilon: 0.806
Episode 44/1000, Total Reward: -1882, Epsilon: 0.802
Episode 45/1000, Total Reward: -944, Epsilon: 0.798
Episode 46/1000, Total Reward: -341, Epsilon: 0.794
Episode 47/1000, Total Reward: -1780, Epsilon: 0.790
Episode 48/1000, Total Reward: 11, Epsilon: 0.786
Episode 49/1000, Total Reward: -7, Epsilon: 0.782
