Scenario 2: ε-greedy vs Softmax Exploration Comparison
Using seed: 42


Running strategy: epsilon_greedy_a0.1_g0.95_d0.99
[EPSILON_GREEDY] Ep 1, Reward: -637, Eps: 0.990, Tau: 0.990
[EPSILON_GREEDY] Ep 2, Reward: -1637, Eps: 0.980, Tau: 0.980
[EPSILON_GREEDY] Ep 3, Reward: -207, Eps: 0.970, Tau: 0.970
[EPSILON_GREEDY] Ep 4, Reward: -1240, Eps: 0.961, Tau: 0.961
[EPSILON_GREEDY] Ep 5, Reward: -859, Eps: 0.951, Tau: 0.951
[EPSILON_GREEDY] Ep 6, Reward: -1141, Eps: 0.941, Tau: 0.941
[EPSILON_GREEDY] Ep 7, Reward: -1456, Eps: 0.932, Tau: 0.932
[EPSILON_GREEDY] Ep 8, Reward: -156, Eps: 0.923, Tau: 0.923
[EPSILON_GREEDY] Ep 9, Reward: -396, Eps: 0.914, Tau: 0.914
[EPSILON_GREEDY] Ep 10, Reward: -122, Eps: 0.904, Tau: 0.904
[EPSILON_GREEDY] Ep 11, Reward: -236, Eps: 0.895, Tau: 0.895
[EPSILON_GREEDY] Ep 12, Reward: -682, Eps: 0.886, Tau: 0.886
[EPSILON_GREEDY] Ep 13, Reward: -129, Eps: 0.878, Tau: 0.878
[EPSILON_GREEDY] Ep 14, Reward: -1492, Eps: 0.869, Tau: 0.869
[EPSILON_GREEDY] Ep 15, Reward: -181, Eps: 0.860, Tau: 0.860
[EPSILON_GREEDY] Ep 16, Reward: -1021, Eps: 0.851, Tau: 0.851
[EPSILON_GREEDY] Ep 17, Reward: -417, Eps: 0.843, Tau: 0.843
[EPSILON_GREEDY] Ep 18, Reward: -697, Eps: 0.835, Tau: 0.835
[EPSILON_GREEDY] Ep 19, Reward: -2625, Eps: 0.826, Tau: 0.826
[EPSILON_GREEDY] Ep 20, Reward: -255, Eps: 0.818, Tau: 0.818
[EPSILON_GREEDY] Ep 21, Reward: -390, Eps: 0.810, Tau: 0.810
[EPSILON_GREEDY] Ep 22, Reward: -1132, Eps: 0.802, Tau: 0.802
[EPSILON_GREEDY] Ep 23, Reward: -646, Eps: 0.794, Tau: 0.794
[EPSILON_GREEDY] Ep 24, Reward: -512, Eps: 0.786, Tau: 0.786
[EPSILON_GREEDY] Ep 25, Reward: -89, Eps: 0.778, Tau: 0.778
[EPSILON_GREEDY] Ep 26, Reward: 36, Eps: 0.770, Tau: 0.770
[EPSILON_GREEDY] Ep 27, Reward: -450, Eps: 0.762, Tau: 0.762
[EPSILON_GREEDY] Ep 28, Reward: 74, Eps: 0.755, Tau: 0.755
[EPSILON_GREEDY] Ep 29, Reward: -1351, Eps: 0.747, Tau: 0.747
[EPSILON_GREEDY] Ep 30, Reward: -830, Eps: 0.740, Tau: 0.740
[EPSILON_GREEDY] Ep 31, Reward: 58, Eps: 0.732, Tau: 0.732
[EPSILON_GREEDY] Ep 32, Reward: 39, Eps: 0.725, Tau: 0.725
[EPSILON_GREEDY] Ep 33, Reward: -206, Eps: 0.718, Tau: 0.718
[EPSILON_GREEDY] Ep 34, Reward: -418, Eps: 0.711, Tau: 0.711
[EPSILON_GREEDY] Ep 35, Reward: 19, Eps: 0.703, Tau: 0.703
[EPSILON_GREEDY] Ep 36, Reward: -531, Eps: 0.696, Tau: 0.696
[EPSILON_GREEDY] Ep 37, Reward: -123, Eps: 0.689, Tau: 0.689
[EPSILON_GREEDY] Ep 38, Reward: -574, Eps: 0.683, Tau: 0.683
[EPSILON_GREEDY] Ep 39, Reward: -326, Eps: 0.676, Tau: 0.676
[EPSILON_GREEDY] Ep 40, Reward: -178, Eps: 0.669, Tau: 0.669
[EPSILON_GREEDY] Ep 41, Reward: 30, Eps: 0.662, Tau: 0.662
