Episode 1/1000, Total Reward: -103, Epsilon: 0.995
Episode 2/1000, Total Reward: -107, Epsilon: 0.990
Episode 3/1000, Total Reward: -158, Epsilon: 0.985
Episode 4/1000, Total Reward: -103, Epsilon: 0.980
Episode 5/1000, Total Reward: -104, Epsilon: 0.975
Episode 6/1000, Total Reward: -146, Epsilon: 0.970
Episode 7/1000, Total Reward: -106, Epsilon: 0.966
Episode 8/1000, Total Reward: -116, Epsilon: 0.961
Episode 9/1000, Total Reward: -101, Epsilon: 0.956
Episode 10/1000, Total Reward: -128, Epsilon: 0.951
Episode 11/1000, Total Reward: -724, Epsilon: 0.946
Episode 12/1000, Total Reward: -114, Epsilon: 0.942
Episode 13/1000, Total Reward: -118, Epsilon: 0.937
Episode 14/1000, Total Reward: -103, Epsilon: 0.932
Episode 15/1000, Total Reward: -128, Epsilon: 0.928
Episode 16/1000, Total Reward: -201, Epsilon: 0.923
Episode 17/1000, Total Reward: -266, Epsilon: 0.918
Episode 18/1000, Total Reward: -136, Epsilon: 0.914
Episode 19/1000, Total Reward: -143, Epsilon: 0.909
Episode 20/1000, Total Reward: -1455, Epsilon: 0.905
Episode 21/1000, Total Reward: -124, Epsilon: 0.900
Episode 22/1000, Total Reward: -104, Epsilon: 0.896
Episode 23/1000, Total Reward: -120, Epsilon: 0.891
Episode 24/1000, Total Reward: -138, Epsilon: 0.887
Episode 25/1000, Total Reward: -145, Epsilon: 0.882
Episode 26/1000, Total Reward: -223, Epsilon: 0.878
Episode 27/1000, Total Reward: -503, Epsilon: 0.873
Episode 28/1000, Total Reward: -1157, Epsilon: 0.869
Episode 29/1000, Total Reward: -160, Epsilon: 0.865
Episode 30/1000, Total Reward: -111, Epsilon: 0.860
Episode 31/1000, Total Reward: -12, Epsilon: 0.856
Episode 32/1000, Total Reward: -200, Epsilon: 0.852
Episode 33/1000, Total Reward: -109, Epsilon: 0.848
Episode 34/1000, Total Reward: -123, Epsilon: 0.843
Episode 35/1000, Total Reward: -101, Epsilon: 0.839
Episode 36/1000, Total Reward: -2, Epsilon: 0.835
Episode 37/1000, Total Reward: -200, Epsilon: 0.831
Episode 38/1000, Total Reward: -111, Epsilon: 0.827
Episode 39/1000, Total Reward: -103, Epsilon: 0.822
Episode 40/1000, Total Reward: -113, Epsilon: 0.818
Episode 41/1000, Total Reward: -106, Epsilon: 0.814
Episode 42/1000, Total Reward: -113, Epsilon: 0.810
Episode 43/1000, Total Reward: -117, Epsilon: 0.806
Episode 44/1000, Total Reward: -624, Epsilon: 0.802
Episode 45/1000, Total Reward: -128, Epsilon: 0.798
Episode 46/1000, Total Reward: -149, Epsilon: 0.794
Episode 47/1000, Total Reward: -166, Epsilon: 0.790
Episode 48/1000, Total Reward: -169, Epsilon: 0.786
Episode 49/1000, Total Reward: -36, Epsilon: 0.782
Episode 50/1000, Total Reward: -144, Epsilon: 0.778
Episode 51/1000, Total Reward: -110, Epsilon: 0.774
Episode 52/1000, Total Reward: -146, Epsilon: 0.771
Episode 53/1000, Total Reward: -127, Epsilon: 0.767
Episode 54/1000, Total Reward: -397, Epsilon: 0.763
Episode 55/1000, Total Reward: 97, Epsilon: 0.759
Episode 56/1000, Total Reward: 79, Epsilon: 0.755
Episode 57/1000, Total Reward: 67, Epsilon: 0.751
Episode 58/1000, Total Reward: 113, Epsilon: 0.748
Episode 59/1000, Total Reward: 77, Epsilon: 0.744
Episode 60/1000, Total Reward: -191, Epsilon: 0.740
Episode 61/1000, Total Reward: -747, Epsilon: 0.737
Episode 62/1000, Total Reward: -103, Epsilon: 0.733
Episode 63/1000, Total Reward: -222, Epsilon: 0.729
Episode 64/1000, Total Reward: -125, Epsilon: 0.726
Episode 65/1000, Total Reward: -156, Epsilon: 0.722
Episode 66/1000, Total Reward: -145, Epsilon: 0.718
Episode 67/1000, Total Reward: -101, Epsilon: 0.715
Episode 68/1000, Total Reward: -104, Epsilon: 0.711
Episode 69/1000, Total Reward: -102, Epsilon: 0.708
Episode 70/1000, Total Reward: 105, Epsilon: 0.704
Episode 71/1000, Total Reward: -229, Epsilon: 0.701
Episode 72/1000, Total Reward: -249, Epsilon: 0.697
Episode 73/1000, Total Reward: -101, Epsilon: 0.694
Episode 74/1000, Total Reward: -171, Epsilon: 0.690
Episode 75/1000, Total Reward: 87, Epsilon: 0.687
Episode 76/1000, Total Reward: -261, Epsilon: 0.683
Episode 77/1000, Total Reward: -104, Epsilon: 0.680
Episode 78/1000, Total Reward: -103, Epsilon: 0.676
Episode 79/1000, Total Reward: -5, Epsilon: 0.673
Episode 80/1000, Total Reward: -114, Epsilon: 0.670
Episode 81/1000, Total Reward: -102, Epsilon: 0.666
Episode 82/1000, Total Reward: 42, Epsilon: 0.663
Episode 83/1000, Total Reward: -109, Epsilon: 0.660
Episode 84/1000, Total Reward: -131, Epsilon: 0.656
Episode 85/1000, Total Reward: -221, Epsilon: 0.653
Episode 86/1000, Total Reward: 88, Epsilon: 0.650
Episode 87/1000, Total Reward: -101, Epsilon: 0.647
Episode 88/1000, Total Reward: -101, Epsilon: 0.643
Episode 89/1000, Total Reward: -111, Epsilon: 0.640
Episode 90/1000, Total Reward: 86, Epsilon: 0.637
Episode 91/1000, Total Reward: -113, Epsilon: 0.634
