Scenario 3: ε-greedy vs Softmax Exploration Comparison
Using seed: 42


Running strategy: epsilon_greedy_a0.1_g0.95_d0.99
[EPSILON_GREEDY] Ep 1, Reward: -138, Eps: 0.990, Tau: 0.990
[EPSILON_GREEDY] Ep 2, Reward: -132, Eps: 0.980, Tau: 0.980
[EPSILON_GREEDY] Ep 3, Reward: -395, Eps: 0.970, Tau: 0.970
[EPSILON_GREEDY] Ep 4, Reward: -160, Eps: 0.961, Tau: 0.961
[EPSILON_GREEDY] Ep 5, Reward: -146, Eps: 0.951, Tau: 0.951
[EPSILON_GREEDY] Ep 6, Reward: -118, Eps: 0.941, Tau: 0.941
[EPSILON_GREEDY] Ep 7, Reward: -129, Eps: 0.932, Tau: 0.932
[EPSILON_GREEDY] Ep 8, Reward: -129, Eps: 0.923, Tau: 0.923
[EPSILON_GREEDY] Ep 9, Reward: -175, Eps: 0.914, Tau: 0.914
[EPSILON_GREEDY] Ep 10, Reward: -113, Eps: 0.904, Tau: 0.904
[EPSILON_GREEDY] Ep 11, Reward: -140, Eps: 0.895, Tau: 0.895
[EPSILON_GREEDY] Ep 12, Reward: -106, Eps: 0.886, Tau: 0.886
[EPSILON_GREEDY] Ep 13, Reward: -133, Eps: 0.878, Tau: 0.878
[EPSILON_GREEDY] Ep 14, Reward: -121, Eps: 0.869, Tau: 0.869
[EPSILON_GREEDY] Ep 15, Reward: -1558, Eps: 0.860, Tau: 0.860
[EPSILON_GREEDY] Ep 16, Reward: -383, Eps: 0.851, Tau: 0.851
[EPSILON_GREEDY] Ep 17, Reward: -129, Eps: 0.843, Tau: 0.843
[EPSILON_GREEDY] Ep 18, Reward: -193, Eps: 0.835, Tau: 0.835
[EPSILON_GREEDY] Ep 19, Reward: -209, Eps: 0.826, Tau: 0.826
[EPSILON_GREEDY] Ep 20, Reward: -150, Eps: 0.818, Tau: 0.818
[EPSILON_GREEDY] Ep 21, Reward: -384, Eps: 0.810, Tau: 0.810
[EPSILON_GREEDY] Ep 22, Reward: -126, Eps: 0.802, Tau: 0.802
[EPSILON_GREEDY] Ep 23, Reward: -119, Eps: 0.794, Tau: 0.794
[EPSILON_GREEDY] Ep 24, Reward: -110, Eps: 0.786, Tau: 0.786
[EPSILON_GREEDY] Ep 25, Reward: -115, Eps: 0.778, Tau: 0.778
[EPSILON_GREEDY] Ep 26, Reward: -313, Eps: 0.770, Tau: 0.770
[EPSILON_GREEDY] Ep 27, Reward: -123, Eps: 0.762, Tau: 0.762
[EPSILON_GREEDY] Ep 28, Reward: -104, Eps: 0.755, Tau: 0.755
[EPSILON_GREEDY] Ep 29, Reward: -112, Eps: 0.747, Tau: 0.747
[EPSILON_GREEDY] Ep 30, Reward: -106, Eps: 0.740, Tau: 0.740
[EPSILON_GREEDY] Ep 31, Reward: -137, Eps: 0.732, Tau: 0.732
[EPSILON_GREEDY] Ep 32, Reward: -133, Eps: 0.725, Tau: 0.725
[EPSILON_GREEDY] Ep 33, Reward: -102, Eps: 0.718, Tau: 0.718
[EPSILON_GREEDY] Ep 34, Reward: -320, Eps: 0.711, Tau: 0.711
[EPSILON_GREEDY] Ep 35, Reward: -120, Eps: 0.703, Tau: 0.703
[EPSILON_GREEDY] Ep 36, Reward: -129, Eps: 0.696, Tau: 0.696
[EPSILON_GREEDY] Ep 37, Reward: -102, Eps: 0.689, Tau: 0.689
[EPSILON_GREEDY] Ep 38, Reward: -134, Eps: 0.683, Tau: 0.683
[EPSILON_GREEDY] Ep 39, Reward: -128, Eps: 0.676, Tau: 0.676
[EPSILON_GREEDY] Ep 40, Reward: -129, Eps: 0.669, Tau: 0.669
[EPSILON_GREEDY] Ep 41, Reward: -128, Eps: 0.662, Tau: 0.662
[EPSILON_GREEDY] Ep 42, Reward: -125, Eps: 0.656, Tau: 0.656
[EPSILON_GREEDY] Ep 43, Reward: -131, Eps: 0.649, Tau: 0.649
[EPSILON_GREEDY] Ep 44, Reward: -137, Eps: 0.643, Tau: 0.643
[EPSILON_GREEDY] Ep 45, Reward: -192, Eps: 0.636, Tau: 0.636
[EPSILON_GREEDY] Ep 46, Reward: -190, Eps: 0.630, Tau: 0.630
[EPSILON_GREEDY] Ep 47, Reward: -361, Eps: 0.624, Tau: 0.624
[EPSILON_GREEDY] Ep 48, Reward: -112, Eps: 0.617, Tau: 0.617
[EPSILON_GREEDY] Ep 49, Reward: -160, Eps: 0.611, Tau: 0.611
[EPSILON_GREEDY] Ep 50, Reward: -164, Eps: 0.605, Tau: 0.605
[EPSILON_GREEDY] Ep 51, Reward: -548, Eps: 0.599, Tau: 0.599
[EPSILON_GREEDY] Ep 52, Reward: -119, Eps: 0.593, Tau: 0.593
[EPSILON_GREEDY] Ep 53, Reward: -467, Eps: 0.587, Tau: 0.587
[EPSILON_GREEDY] Ep 54, Reward: -109, Eps: 0.581, Tau: 0.581
[EPSILON_GREEDY] Ep 55, Reward: -728, Eps: 0.575, Tau: 0.575
[EPSILON_GREEDY] Ep 56, Reward: -108, Eps: 0.570, Tau: 0.570
[EPSILON_GREEDY] Ep 57, Reward: -116, Eps: 0.564, Tau: 0.564
[EPSILON_GREEDY] Ep 58, Reward: -107, Eps: 0.558, Tau: 0.558
[EPSILON_GREEDY] Ep 59, Reward: -132, Eps: 0.553, Tau: 0.553
[EPSILON_GREEDY] Ep 60, Reward: -147, Eps: 0.547, Tau: 0.547
[EPSILON_GREEDY] Ep 61, Reward: -196, Eps: 0.542, Tau: 0.542
[EPSILON_GREEDY] Ep 62, Reward: -104, Eps: 0.536, Tau: 0.536
[EPSILON_GREEDY] Ep 63, Reward: -134, Eps: 0.531, Tau: 0.531
[EPSILON_GREEDY] Ep 64, Reward: -465, Eps: 0.526, Tau: 0.526
[EPSILON_GREEDY] Ep 65, Reward: -116, Eps: 0.520, Tau: 0.520
[EPSILON_GREEDY] Ep 66, Reward: -178, Eps: 0.515, Tau: 0.515
[EPSILON_GREEDY] Ep 67, Reward: -858, Eps: 0.510, Tau: 0.510
[EPSILON_GREEDY] Ep 68, Reward: -106, Eps: 0.505, Tau: 0.505
[EPSILON_GREEDY] Ep 69, Reward: -124, Eps: 0.500, Tau: 0.500
[EPSILON_GREEDY] Ep 70, Reward: -118, Eps: 0.495, Tau: 0.495
[EPSILON_GREEDY] Ep 71, Reward: -422, Eps: 0.490, Tau: 0.490
[EPSILON_GREEDY] Ep 72, Reward: -104, Eps: 0.485, Tau: 0.485
[EPSILON_GREEDY] Ep 73, Reward: -15, Eps: 0.480, Tau: 0.480
[EPSILON_GREEDY] Ep 74, Reward: -155, Eps: 0.475, Tau: 0.475
[EPSILON_GREEDY] Ep 75, Reward: -128, Eps: 0.471, Tau: 0.471
[EPSILON_GREEDY] Ep 76, Reward: -128, Eps: 0.466, Tau: 0.466
[EPSILON_GREEDY] Ep 77, Reward: -111, Eps: 0.461, Tau: 0.461
[EPSILON_GREEDY] Ep 78, Reward: -118, Eps: 0.457, Tau: 0.457
[EPSILON_GREEDY] Ep 79, Reward: -104, Eps: 0.452, Tau: 0.452
[EPSILON_GREEDY] Ep 80, Reward: -177, Eps: 0.448, Tau: 0.448
[EPSILON_GREEDY] Ep 81, Reward: -189, Eps: 0.443, Tau: 0.443
[EPSILON_GREEDY] Ep 82, Reward: -104, Eps: 0.439, Tau: 0.439
[EPSILON_GREEDY] Ep 83, Reward: -101, Eps: 0.434, Tau: 0.434
[EPSILON_GREEDY] Ep 84, Reward: -117, Eps: 0.430, Tau: 0.430
[EPSILON_GREEDY] Ep 85, Reward: -673, Eps: 0.426, Tau: 0.426
[EPSILON_GREEDY] Ep 86, Reward: -121, Eps: 0.421, Tau: 0.421
[EPSILON_GREEDY] Ep 87, Reward: -112, Eps: 0.417, Tau: 0.417
[EPSILON_GREEDY] Ep 88, Reward: -125, Eps: 0.413, Tau: 0.413
[EPSILON_GREEDY] Ep 89, Reward: -112, Eps: 0.409, Tau: 0.409
[EPSILON_GREEDY] Ep 90, Reward: -129, Eps: 0.405, Tau: 0.405
[EPSILON_GREEDY] Ep 91, Reward: -273, Eps: 0.401, Tau: 0.401
[EPSILON_GREEDY] Ep 92, Reward: 20, Eps: 0.397, Tau: 0.397
[EPSILON_GREEDY] Ep 93, Reward: -174, Eps: 0.393, Tau: 0.393
[EPSILON_GREEDY] Ep 94, Reward: -259, Eps: 0.389, Tau: 0.389
[EPSILON_GREEDY] Ep 95, Reward: -119, Eps: 0.385, Tau: 0.385
[EPSILON_GREEDY] Ep 96, Reward: -297, Eps: 0.381, Tau: 0.381
[EPSILON_GREEDY] Ep 97, Reward: -14, Eps: 0.377, Tau: 0.377
[EPSILON_GREEDY] Ep 98, Reward: -184, Eps: 0.373, Tau: 0.373
[EPSILON_GREEDY] Ep 99, Reward: -179, Eps: 0.370, Tau: 0.370
[EPSILON_GREEDY] Ep 100, Reward: -169, Eps: 0.366, Tau: 0.366
[EPSILON_GREEDY] Ep 101, Reward: -152, Eps: 0.362, Tau: 0.362
[EPSILON_GREEDY] Ep 102, Reward: -579, Eps: 0.359, Tau: 0.359
[EPSILON_GREEDY] Ep 103, Reward: -117, Eps: 0.355, Tau: 0.355
[EPSILON_GREEDY] Ep 104, Reward: -179, Eps: 0.352, Tau: 0.352
[EPSILON_GREEDY] Ep 105, Reward: 39, Eps: 0.348, Tau: 0.348
[EPSILON_GREEDY] Ep 106, Reward: -108, Eps: 0.345, Tau: 0.345
[EPSILON_GREEDY] Ep 107, Reward: -112, Eps: 0.341, Tau: 0.341
[EPSILON_GREEDY] Ep 108, Reward: -108, Eps: 0.338, Tau: 0.338
[EPSILON_GREEDY] Ep 109, Reward: -143, Eps: 0.334, Tau: 0.334
[EPSILON_GREEDY] Ep 110, Reward: -45, Eps: 0.331, Tau: 0.331
[EPSILON_GREEDY] Ep 111, Reward: 77, Eps: 0.328, Tau: 0.328
[EPSILON_GREEDY] Ep 112, Reward: -43, Eps: 0.324, Tau: 0.324
[EPSILON_GREEDY] Ep 113, Reward: 61, Eps: 0.321, Tau: 0.321
[EPSILON_GREEDY] Ep 114, Reward: -106, Eps: 0.318, Tau: 0.318
[EPSILON_GREEDY] Ep 115, Reward: -143, Eps: 0.315, Tau: 0.315
[EPSILON_GREEDY] Ep 116, Reward: -264, Eps: 0.312, Tau: 0.312
[EPSILON_GREEDY] Ep 117, Reward: -104, Eps: 0.309, Tau: 0.309
[EPSILON_GREEDY] Ep 118, Reward: 85, Eps: 0.305, Tau: 0.305
[EPSILON_GREEDY] Ep 119, Reward: -179, Eps: 0.302, Tau: 0.302
[EPSILON_GREEDY] Ep 120, Reward: -126, Eps: 0.299, Tau: 0.299
[EPSILON_GREEDY] Ep 121, Reward: -177, Eps: 0.296, Tau: 0.296
[EPSILON_GREEDY] Ep 122, Reward: -33, Eps: 0.293, Tau: 0.293
[EPSILON_GREEDY] Ep 123, Reward: 91, Eps: 0.290, Tau: 0.290
[EPSILON_GREEDY] Ep 124, Reward: -328, Eps: 0.288, Tau: 0.288
[EPSILON_GREEDY] Ep 125, Reward: -104, Eps: 0.285, Tau: 0.285
[EPSILON_GREEDY] Ep 126, Reward: -163, Eps: 0.282, Tau: 0.282
[EPSILON_GREEDY] Ep 127, Reward: -112, Eps: 0.279, Tau: 0.279
[EPSILON_GREEDY] Ep 128, Reward: -154, Eps: 0.276, Tau: 0.276
[EPSILON_GREEDY] Ep 129, Reward: -35, Eps: 0.273, Tau: 0.273
[EPSILON_GREEDY] Ep 130, Reward: -132, Eps: 0.271, Tau: 0.271
[EPSILON_GREEDY] Ep 131, Reward: -13, Eps: 0.268, Tau: 0.268
[EPSILON_GREEDY] Ep 132, Reward: 69, Eps: 0.265, Tau: 0.265
[EPSILON_GREEDY] Ep 133, Reward: 20, Eps: 0.263, Tau: 0.263
[EPSILON_GREEDY] Ep 134, Reward: -138, Eps: 0.260, Tau: 0.260
[EPSILON_GREEDY] Ep 135, Reward: -277, Eps: 0.257, Tau: 0.257
[EPSILON_GREEDY] Ep 136, Reward: 21, Eps: 0.255, Tau: 0.255
[EPSILON_GREEDY] Ep 137, Reward: -129, Eps: 0.252, Tau: 0.252
[EPSILON_GREEDY] Ep 138, Reward: -445, Eps: 0.250, Tau: 0.250
[EPSILON_GREEDY] Ep 139, Reward: 94, Eps: 0.247, Tau: 0.247
[EPSILON_GREEDY] Ep 140, Reward: -688, Eps: 0.245, Tau: 0.245
[EPSILON_GREEDY] Ep 141, Reward: 100, Eps: 0.242, Tau: 0.242
[EPSILON_GREEDY] Ep 142, Reward: 45, Eps: 0.240, Tau: 0.240
[EPSILON_GREEDY] Ep 143, Reward: -341, Eps: 0.238, Tau: 0.238
[EPSILON_GREEDY] Ep 144, Reward: -118, Eps: 0.235, Tau: 0.235
[EPSILON_GREEDY] Ep 145, Reward: 65, Eps: 0.233, Tau: 0.233
[EPSILON_GREEDY] Ep 146, Reward: 92, Eps: 0.231, Tau: 0.231
[EPSILON_GREEDY] Ep 147, Reward: 34, Eps: 0.228, Tau: 0.228
[EPSILON_GREEDY] Ep 148, Reward: 60, Eps: 0.226, Tau: 0.226
[EPSILON_GREEDY] Ep 149, Reward: -90, Eps: 0.224, Tau: 0.224
[EPSILON_GREEDY] Ep 150, Reward: 91, Eps: 0.221, Tau: 0.221
[EPSILON_GREEDY] Ep 151, Reward: -82, Eps: 0.219, Tau: 0.219
[EPSILON_GREEDY] Ep 152, Reward: 91, Eps: 0.217, Tau: 0.217
[EPSILON_GREEDY] Ep 153, Reward: 46, Eps: 0.215, Tau: 0.215
[EPSILON_GREEDY] Ep 154, Reward: 65, Eps: 0.213, Tau: 0.213
[EPSILON_GREEDY] Ep 155, Reward: -121, Eps: 0.211, Tau: 0.211
[EPSILON_GREEDY] Ep 156, Reward: -44, Eps: 0.208, Tau: 0.208
[EPSILON_GREEDY] Ep 157, Reward: 68, Eps: 0.206, Tau: 0.206
[EPSILON_GREEDY] Ep 158, Reward: 50, Eps: 0.204, Tau: 0.204
[EPSILON_GREEDY] Ep 159, Reward: 108, Eps: 0.202, Tau: 0.202
[EPSILON_GREEDY] Ep 160, Reward: 88, Eps: 0.200, Tau: 0.200
[EPSILON_GREEDY] Ep 161, Reward: -138, Eps: 0.198, Tau: 0.198
[EPSILON_GREEDY] Ep 162, Reward: 107, Eps: 0.196, Tau: 0.196
[EPSILON_GREEDY] Ep 163, Reward: 117, Eps: 0.194, Tau: 0.194
[EPSILON_GREEDY] Ep 164, Reward: -56, Eps: 0.192, Tau: 0.192
[EPSILON_GREEDY] Ep 165, Reward: 87, Eps: 0.190, Tau: 0.190
[EPSILON_GREEDY] Ep 166, Reward: 56, Eps: 0.189, Tau: 0.189
[EPSILON_GREEDY] Ep 167, Reward: 100, Eps: 0.187, Tau: 0.187
[EPSILON_GREEDY] Ep 168, Reward: -103, Eps: 0.185, Tau: 0.185
[EPSILON_GREEDY] Ep 169, Reward: 91, Eps: 0.183, Tau: 0.183
[EPSILON_GREEDY] Ep 170, Reward: 95, Eps: 0.181, Tau: 0.181
[EPSILON_GREEDY] Ep 171, Reward: 109, Eps: 0.179, Tau: 0.179
[EPSILON_GREEDY] Ep 172, Reward: 46, Eps: 0.178, Tau: 0.178
[EPSILON_GREEDY] Ep 173, Reward: 108, Eps: 0.176, Tau: 0.176
[EPSILON_GREEDY] Ep 174, Reward: -190, Eps: 0.174, Tau: 0.174
[EPSILON_GREEDY] Ep 175, Reward: 90, Eps: 0.172, Tau: 0.172
[EPSILON_GREEDY] Ep 176, Reward: 97, Eps: 0.171, Tau: 0.171
[EPSILON_GREEDY] Ep 177, Reward: 66, Eps: 0.169, Tau: 0.169
[EPSILON_GREEDY] Ep 178, Reward: 117, Eps: 0.167, Tau: 0.167
[EPSILON_GREEDY] Ep 179, Reward: -74, Eps: 0.165, Tau: 0.165
[EPSILON_GREEDY] Ep 180, Reward: 98, Eps: 0.164, Tau: 0.164
[EPSILON_GREEDY] Ep 181, Reward: 104, Eps: 0.162, Tau: 0.162
[EPSILON_GREEDY] Ep 182, Reward: 100, Eps: 0.161, Tau: 0.161
[EPSILON_GREEDY] Ep 183, Reward: 110, Eps: 0.159, Tau: 0.159
[EPSILON_GREEDY] Ep 184, Reward: 63, Eps: 0.157, Tau: 0.157
[EPSILON_GREEDY] Ep 185, Reward: 113, Eps: 0.156, Tau: 0.156
[EPSILON_GREEDY] Ep 186, Reward: 116, Eps: 0.154, Tau: 0.154
[EPSILON_GREEDY] Ep 187, Reward: 69, Eps: 0.153, Tau: 0.153
[EPSILON_GREEDY] Ep 188, Reward: 111, Eps: 0.151, Tau: 0.151
[EPSILON_GREEDY] Ep 189, Reward: 105, Eps: 0.150, Tau: 0.150
[EPSILON_GREEDY] Ep 190, Reward: 117, Eps: 0.148, Tau: 0.148
[EPSILON_GREEDY] Ep 191, Reward: 113, Eps: 0.147, Tau: 0.147
[EPSILON_GREEDY] Ep 192, Reward: 123, Eps: 0.145, Tau: 0.145
[EPSILON_GREEDY] Ep 193, Reward: 95, Eps: 0.144, Tau: 0.144
[EPSILON_GREEDY] Ep 194, Reward: 125, Eps: 0.142, Tau: 0.142
[EPSILON_GREEDY] Ep 195, Reward: 115, Eps: 0.141, Tau: 0.141
[EPSILON_GREEDY] Ep 196, Reward: 106, Eps: 0.139, Tau: 0.139
[EPSILON_GREEDY] Ep 197, Reward: 113, Eps: 0.138, Tau: 0.138
[EPSILON_GREEDY] Ep 198, Reward: 111, Eps: 0.137, Tau: 0.137
[EPSILON_GREEDY] Ep 199, Reward: 125, Eps: 0.135, Tau: 0.135
[EPSILON_GREEDY] Ep 200, Reward: 117, Eps: 0.134, Tau: 0.134
[EPSILON_GREEDY] Ep 201, Reward: 90, Eps: 0.133, Tau: 0.133
[EPSILON_GREEDY] Ep 202, Reward: 111, Eps: 0.131, Tau: 0.131
[EPSILON_GREEDY] Ep 203, Reward: 116, Eps: 0.130, Tau: 0.130
[EPSILON_GREEDY] Ep 204, Reward: 125, Eps: 0.129, Tau: 0.129
[EPSILON_GREEDY] Ep 205, Reward: 124, Eps: 0.127, Tau: 0.127
